date,week,region,deaths,tests
2020-09-10,37,PL71,2.0,0.0
2020-09-10,37,PL81,1.0,0.0
2020-09-10,37,PL84,1.0,0.0
2020-09-10,37,PL9,1.0,0.0
2020-09-11,37,PL21,3.0,0.0
2020-09-11,37,PL22,2.0,0.0
2020-09-11,37,PL41,2.0,0.0
2020-09-11,37,PL71,1.0,0.0
2020-09-11,37,PL81,1.0,0.0
2020-09-11,37,PL9,1.0,0.0
2020-09-12,37,PL22,2.0,0.0
2020-09-12,37,PL41,1.0,0.0
2020-09-12,37,PL51,2.0,0.0
2020-09-12,37,PL52,2.0,0.0
2020-09-12,37,PL61,1.0,0.0
2020-09-12,37,PL71,2.0,0.0
2020-09-12,37,PL82,1.0,0.0
2020-09-12,37,PL9,2.0,0.0
2020-09-13,37,PL21,2.0,0.0
2020-09-13,37,PL81,1.0,0.0
2020-09-13,37,PL82,2.0,0.0
2020-09-13,37,PL9,1.0,0.0
2020-09-14,38,PL21,3.0,11098.0
2020-09-14,38,PL41,2.0,11514.0
2020-09-14,38,PL51,1.0,10627.0
2020-09-14,38,PL52,1.0,1883.0
2020-09-14,38,PL82,4.0,1432.0
2020-09-14,38,PL84,3.0,3209.0
2020-09-14,38,PL9,1.0,25218.0
2020-09-15,38,PL21,4.0,0.0
2020-09-15,38,PL22,4.0,0.0
2020-09-15,38,PL41,3.0,0.0
2020-09-15,38,PL42,2.0,0.0
2020-09-15,38,PL52,2.0,0.0
2020-09-15,38,PL61,3.0,0.0
2020-09-15,38,PL71,3.0,0.0
2020-09-15,38,PL82,1.0,0.0
2020-09-15,38,PL84,1.0,0.0
2020-09-15,38,PL9,1.0,0.0
2020-09-16,38,PL22,2.0,0.0
2020-09-16,38,PL41,1.0,0.0
2020-09-16,38,PL52,1.0,0.0
2020-09-16,38,PL63,1.0,0.0
2020-09-16,38,PL71,2.0,0.0
2020-09-16,38,PL82,2.0,0.0
2020-09-16,38,PL9,1.0,0.0
2020-09-17,38,PL21,4.0,0.0
2020-09-17,38,PL22,2.0,0.0
2020-09-17,38,PL41,4.0,0.0
2020-09-17,38,PL51,1.0,0.0
2020-09-17,38,PL71,3.0,0.0
2020-09-17,38,PL72,1.0,0.0
2020-09-17,38,PL82,1.0,0.0
2020-09-18,38,PL21,1.0,0.0
2020-09-18,38,PL22,3.0,0.0
2020-09-18,38,PL41,1.0,0.0
2020-09-18,38,PL51,1.0,0.0
